iter	RMSE
190	10.82411519
191	10.80296871
192	10.77982545
193	10.75071968
194	10.72268279
195	10.69603552
196	10.67330617
197	10.64378704
198	10.61820208
199	10.58601989
200	10.56306491
201	10.54544587
202	10.51670964
203	10.49279297
204	10.47068039
205	10.43616075
206	10.41176018
207	10.38599668
208	10.36061214
209	10.34120389
210	10.31778107
211	10.28846201
212	10.26127991
213	10.2404197
214	10.21432383
215	10.18893069
216	10.16363879
217	10.14838195
218	10.12434728
219	10.1002099
220	10.08558269
221	10.0571728
222	10.03482318
223	10.01729633
224	9.995645739
225	9.966571993
226	9.943262627
227	9.916120785
228	9.894281716
229	9.874690882
230	9.850598726
231	9.826987655
232	9.802498575
233	9.780242521
234	9.752567047
235	9.730588613
236	9.718007627
237	9.692320111
238	9.66605595
239	9.643923144
240	9.620542756
241	9.59558157
242	9.582709527
243	9.559844645
244	9.539701394
245	9.517723922
246	9.499628989
247	9.486002452
248	9.46521863
249	9.447807623
250	9.424855825
251	9.404654376
252	9.381596185
253	9.367279519
254	9.35038247
255	9.330775184
256	9.308334361
257	9.286275539
258	9.263422398
259	9.241497643
260	9.219666438
261	9.197792161
262	9.177566829
263	9.163588557
264	9.144542512
265	9.122546748
266	9.104477825
267	9.083170201
268	9.059269325
269	9.041659014
270	9.024290316
271	9.006358195
272	8.987682254
273	8.970840743
274	8.954561331
275	8.937184461
276	8.914481009
277	8.894735649
278	8.876944523
279	8.859116873
280	8.843436386
281	8.831389743
282	8.810173178
283	8.79427369
284	8.774568317
285	8.758280178
286	8.738604816
287	8.717465196
288	8.706736318
289	8.688113817
290	8.67246165
291	8.656062355
292	8.636076604
293	8.623146343
294	8.604522158
295	8.594471791
296	8.577049319
297	8.560673175
298	8.546086819
299	8.527030116
300	8.510349164
301	8.493616928
302	8.477030495
303	8.461272104
304	8.445885122
305	8.435451386
306	8.418271861
307	8.403755629
308	8.384247332
309	8.370006208
310	8.356465129
311	8.342022029
312	8.322927484
313	8.306836829
314	8.291780552
315	8.276214968
316	8.26154724
317	8.248534749
318	8.236176666
319	8.224163278
320	8.211967432
321	8.199554774
322	8.186346279
323	8.171856996
324	8.159899401
325	8.147039055
326	8.13231432
327	8.1163598
328	8.105441999
329	8.092037936
330	8.076500653
331	8.061814978
332	8.049069511
333	8.036855323
334	8.024963003
335	8.012588226
336	7.999133564
337	7.987747931
338	7.975310989
339	7.958318077
340	7.947871728
341	7.936996194
342	7.923311985
343	7.911676128
344	7.90141455
345	7.88742979
346	7.872224025
347	7.860357806
348	7.844630546
349	7.835184116
350	7.824824472
351	7.810899565
352	7.798392617
353	7.784552747
354	7.769678703
355	7.758546708
356	7.741764784
357	7.726909979
358	7.716403336
359	7.705985699
360	7.693181888
361	7.683149888
362	7.672983843
363	7.658298252
364	7.647940752
365	7.636553749
366	7.62261814
367	7.615955243
368	7.604772644
369	7.590213284
370	7.577411079
371	7.566136443
372	7.552998688
373	7.54065733
374	7.527435879
375	7.516720655
376	7.503436867
377	7.490529812
378	7.480793134
379	7.472299696
380	7.463736744
381	7.451975631
382	7.441615443
383	7.427455816
384	7.416480517
385	7.401128602
386	7.388916471
387	7.37770681
388	7.367620826
389	7.355227269
390	7.342559394
391	7.328652374
392	7.319047954
393	7.307717041
394	7.299995341
395	7.290806683
396	7.282840408
397	7.273210056
398	7.258791324
399	7.249259565
400	7.238405419
401	7.226307143
402	7.213460719
403	7.202717926
404	7.193572777
405	7.183598198
406	7.17158538
407	7.157052274
408	7.146360323
409	7.133816989
410	7.120584771
411	7.112334335
412	7.103500343
413	7.093504767
414	7.082038769
415	7.069133034
416	7.056576491
417	7.050186205
418	7.038137882
419	7.02893993
420	7.018240006
421	7.005395873
422	6.994297915
423	6.987301528
424	6.978997993
425	6.970072726
426	6.961864872
427	6.954156726
428	6.941587781
429	6.932166702
430	6.918675147
431	6.90992153
432	6.900273336
433	6.889362833
434	6.880140252
435	6.872347347
436	6.860738893
437	6.848476126
438	6.839626193
439	6.832343424
440	6.822494159
441	6.812127391
442	6.804195381
443	6.7946006
444	6.786552253
445	6.777437682
446	6.768189922
447	6.760086667
448	6.750830411
449	6.744051579
450	6.734752854
451	6.725404501
452	6.718784286
453	6.707213094
454	6.698729105
455	6.690356347
456	6.681495211
457	6.671969543
458	6.665660421
459	6.653969734
460	6.646473329
461	6.635362031
462	6.627787042
463	6.620268467
464	6.607363779
465	6.595995697
466	6.585575001
467	6.575271884
468	6.566972244
469	6.556661065
470	6.545912567
471	6.539264878
472	6.532757378
473	6.521974854
474	6.512185666
475	6.505928638
476	6.497325044
477	6.48773157
478	6.479680759
479	6.473504105
480	6.465838231
481	6.454567846
482	6.444838254
483	6.436699063
484	6.431571277
485	6.424866436
486	6.416189404
487	6.405599038
488	6.398535929
489	6.390139808
490	6.383953679
491	6.377638649
492	6.367647152
493	6.359507064
494	6.350752342
495	6.341391925
496	6.334519901
497	6.327189803
498	6.32037786
499	6.310219498
500	6.302675034
501	6.295179572
502	6.288342034
503	6.278598059
504	6.270305049
505	6.262795069
506	6.253467797
507	6.245415641
508	6.234914261
509	6.229233744
510	6.221908837
511	6.213527327
512	6.204534192
513	6.198430466
514	6.192218617
515	6.183624669
516	6.174355016
517	6.16688002
518	6.157473052
519	6.151515025
520	6.142086383
521	6.134736593
522	6.129826833
523	6.122006302
524	6.113923656
525	6.105549591
526	6.097328828
527	6.088492058
528	6.080811265
529	6.073920665
530	6.067042008
531	6.059723771
532	6.052440898
533	6.044959762
534	6.03749043
535	6.030744895
536	6.024420317
537	6.01904313
538	6.009161762
539	6.002672981
540	5.995009516
541	5.987622476
542	5.979853582
543	5.971598124
544	5.962540429
545	5.957456947
546	5.950581489
547	5.94349189
548	5.935607181
549	5.929392691
550	5.925204916
551	5.917099439
552	5.911187192
553	5.90445178
554	5.898528777
555	5.891602436
556	5.887122634
557	5.882615594
558	5.875359881
559	5.871036333
560	5.865102528
561	5.857736474
562	5.85059813
563	5.84470893
564	5.838583182
565	5.830994201
566	5.824160326
567	5.818097339
568	5.811770396
569	5.804603091
570	5.797145894
571	5.791517131
572	5.783880144
573	5.776835769
574	5.769117227
575	5.762908666
576	5.757784115
577	5.751597422
578	5.744868579
579	5.736580692
580	5.730757006
581	5.725514856
582	5.721598032
583	5.715120187
584	5.710854358
585	5.704149073
586	5.696879612
587	5.689511279
588	5.68223033
589	5.674811075
590	5.668377221
591	5.662532497
592	5.655431529
593	5.649930488
594	5.642789172
595	5.637125466
596	5.63029964
597	5.623618722
598	5.616346535
599	5.611867637
600	5.605249409
601	5.599920953
602	5.592352179
603	5.586459692
604	5.580111098
605	5.574818042
606	5.569649822
607	5.562708314
608	5.556384826
609	5.551375711
610	5.54546504
611	5.538432638
612	5.533108804
613	5.526660012
614	5.520933304
615	5.515711354
616	5.509573143
617	5.504878136
618	5.499803781
619	5.494746566
620	5.488227676
621	5.481709905
622	5.477545892
623	5.473161163
624	5.466516448
625	5.460947942
626	5.456026289
627	5.450015188
628	5.443006299
629	5.437662489
630	5.432664996
631	5.426787971
632	5.421976287
633	5.415369514
634	5.408977788
635	5.403100482
636	5.397694547
637	5.391503034
638	5.386011349
639	5.38144893
640	5.375612404
641	5.36879128
642	5.363950388
643	5.357980275
644	5.351790349
645	5.345214539
646	5.339914194
647	5.334854599
648	5.329718777
649	5.323819759
650	5.320249708
651	5.314847089
652	5.309620023
653	5.30458649
654	5.299704135
655	5.294573599
656	5.289282517
657	5.285041224
658	5.28064282
659	5.275573666
660	5.270641072
661	5.264642944
662	5.261194831
663	5.256710148
664	5.250524439
665	5.246697105
666	5.241141273
667	5.235798498
668	5.230380854
669	5.224887232
670	5.221822435
671	5.215824992
672	5.212198842
673	5.209094896
674	5.203207913
675	5.197528263
676	5.193013745
677	5.185802148
678	5.179829193
679	5.174594023
680	5.16984693
681	5.165832874
682	5.162917378
683	5.157819232
684	5.15344039
685	5.147431718
686	5.141551081
687	5.135405051
688	5.129340116
689	5.124295623
690	5.119480056
691	5.114377809
692	5.110257978
693	5.105844031
694	5.101223547
695	5.096120215
696	5.090829241
697	5.086370788
698	5.080330523
699	5.075815009
700	5.070570001
701	5.065765299
702	5.060837864
703	5.055291521
704	5.050586979
705	5.045498598
706	5.040728904
707	5.035653795
708	5.031877673
709	5.027725494
710	5.0215593
711	5.016361277
712	5.011561873
713	5.005684589
714	5.000368056
715	4.994902999
716	4.990818906
717	4.986157979
718	4.981731617
719	4.976880801
720	4.971833353
721	4.967522383
722	4.963398595
723	4.958745424
724	4.95383372
725	4.94952337
726	4.944426417
727	4.938399576
728	4.933735224
729	4.929634299
730	4.925204901
731	4.920710814
732	4.915362797
733	4.909787808
734	4.905001507
735	4.901005367
736	4.895165656
737	4.892163193
738	4.888458822
739	4.882855519
740	4.878232102
741	4.874217749
742	4.869875153
743	4.865628678
744	4.860457472
745	4.856429374
746	4.851582871
747	4.847270787
748	4.842318539
749	4.837825643
750	4.83387482
751	4.82948102
752	4.825047863
753	4.820634342
754	4.816705889
755	4.813500241
756	4.809700699
757	4.804936511
758	4.801001947
759	4.797355637
760	4.793870893
761	4.789572521
762	4.786225955
763	4.782163983
764	4.777376174
765	4.772550552
766	4.767424314
767	4.765044265
768	4.761232819
769	4.75860779
770	4.754440691
771	4.749462204
772	4.744155913
773	4.740144486
774	4.736213333
775	4.732487661
776	4.729193779
777	4.725095573
778	4.721548165
779	4.716732749
780	4.714201727
781	4.710319686
782	4.705876098
783	4.701728414
784	4.697181806
785	4.693850967
786	4.688971366
787	4.684667988
788	4.681756422
789	4.675738564
790	4.671341512
791	4.667352726
792	4.663229665
793	4.658870622
794	4.655303861
795	4.650311815
796	4.646082581
797	4.642381867
798	4.637975679
799	4.635909467
800	4.632100148
801	4.628601606
802	4.623951878
803	4.619797321
804	4.615868054
805	4.612050252
806	4.608352383
807	4.603429351
808	4.600215314
809	4.596246466
810	4.593800714
811	4.588686049
812	4.584335233
813	4.579872403
814	4.574693841
815	4.570771507
816	4.567342179
817	4.562883555
818	4.559590206
819	4.556168964
820	4.552003851
821	4.547209162
822	4.54369136
823	4.540176463
824	4.535827013
825	4.532386207
826	4.528582183
827	4.52519679
828	4.521278083
829	4.517179705
830	4.513578122
831	4.509647355
832	4.507595493
833	4.503317866
834	4.499038683
835	4.495325479
836	4.491283936
837	4.486373474
838	4.48268987
839	4.480047161
840	4.476901303
841	4.473383601
842	4.470518312
843	4.467132056
844	4.463032934
845	4.459144973
846	4.455073684
847	4.451360087
848	4.446974637
849	4.442818439
850	4.438325483
851	4.434796962
852	4.431390891
853	4.427644669
854	4.423502936
855	4.419748861
856	4.415744224
857	4.411734025
858	4.4078923
859	4.40447656
860	4.400578046
861	4.397739681
862	4.39445443
863	4.390765937
864	4.386498857
865	4.382543419
866	4.377921304
867	4.37456123
868	4.369364451
869	4.366403085
870	4.363096261
871	4.359975648
872	4.356392642
873	4.352735903
874	4.350095241
875	4.346399529
876	4.343533953
877	4.339940209
878	4.33646876
879	4.33312747
880	4.329800544
881	4.326681913
882	4.323493544
883	4.319412597
884	4.315550094
885	4.312539773
886	4.3090718
887	4.305782326
888	4.303271108
889	4.300384204
890	4.298090024
891	4.294619552
892	4.291287017
893	4.287158965
894	4.283177682
895	4.279654906
896	4.276499578
897	4.273293777
898	4.269558531
899	4.266381138
900	4.262542598
901	4.259820866
902	4.257115754
903	4.254271926
904	4.249751156
905	4.246264537
906	4.243050463
907	4.239835618
908	4.235618293
909	4.232788581
910	4.229624275
911	4.226796009
912	4.223952989
913	4.220549009
914	4.217758962
915	4.214795789
916	4.211487236
917	4.208349229
918	4.205125181
919	4.202174462
920	4.199049852
921	4.195807952
922	4.192895716
923	4.189724421
924	4.186323453
925	4.183725635
926	4.180958421
927	4.1779438
928	4.174369332
929	4.171530116
930	4.169123687
931	4.166333051
932	4.163470239
933	4.160384239
934	4.156627881
935	4.153200715
936	4.1498952
937	4.146548769
938	4.143641477
939	4.140684498
940	4.136918838
941	4.134039823
942	4.130673158
943	4.127355908
944	4.124361516
945	4.121304998
946	4.118850723
947	4.115920992
948	4.112915307
949	4.109482269
950	4.105779577
951	4.102532879
952	4.0997154
953	4.097505835
954	4.094181581
955	4.090928687
956	4.087788599
957	4.085492969
958	4.082421014
959	4.079941063
960	4.076311535
961	4.073719579
962	4.070625538
963	4.06760252
964	4.06469925
965	4.061443101
966	4.059315
967	4.056243587
968	4.053861054
969	4.050835047
970	4.047938902
971	4.04527771
972	4.04246241
973	4.039622869
974	4.037371456
975	4.0342322
976	4.030947451
977	4.028854933
978	4.025643867
979	4.023887478
980	4.021191264
981	4.017524484
982	4.01480442
983	4.011816186
984	4.009054742
985	4.005896743
986	4.003182437
987	4.000559166
988	3.997715968
989	3.995023043
990	3.993315161
991	3.98974876
992	3.987051457
993	3.984814157
994	3.982001919
995	3.979683691
996	3.975931186
997	3.972249364
998	3.96959471
999	3.965800068
